subject,n_total,n_session1,n_session2,n_valid_RT,n_trimmed_RT,n_unusable,unusable_rate,n_event_vs_nanx_mismatch,n_nan_y_only_0_600,n_toward,n_noMS,n_away,n_tooSmall,n_unclassified,n_unusable_toward,n_unusable_noMS,n_unusable_away,n_unusable_tooSmall,n_trimmed_toward,n_trimmed_noMS,n_trimmed_away
s01,1200,600,600,1171,29,2,0.00166666666666667,0,0,521,169,246,264,0,0,1,0,1,10,5,7
s02,1200,600,600,1180,20,45,0.0375,0,0,530,229,174,267,0,5,25,5,10,10,7,2
s03,1200,600,600,1071,129,124,0.103333333333333,0,0,363,324,261,252,0,22,58,17,27,41,26,44
s04,1200,600,600,1137,63,36,0.03,0,0,491,311,150,248,0,6,18,3,9,20,18,13
s06,1200,600,600,1173,27,107,0.0891666666666667,0,0,357,208,259,376,0,25,27,24,31,10,3,4
s08,1200,600,600,1141,59,34,0.0283333333333333,0,0,326,403,151,320,0,11,11,4,8,18,22,8
s09,1200,600,600,1170,30,391,0.325833333333333,0,0,415,338,241,206,0,54,240,34,63,0,18,7
s10,1200,600,600,1166,34,5,0.00416666666666667,0,0,181,465,117,437,0,1,2,1,1,5,14,2
s11,1200,600,600,1165,35,120,0.1,0,0,315,518,170,197,0,6,97,4,13,16,10,5
s12,1200,600,600,1156,44,36,0.03,0,0,430,243,232,295,0,8,18,5,5,19,13,5
s13,1200,600,600,1165,35,326,0.271666666666667,0,0,380,374,253,193,0,44,201,35,46,8,13,8
s14,1200,600,600,978,222,252,0.21,0,0,412,420,189,179,0,39,149,31,33,47,104,43
s15,1200,600,600,1134,66,99,0.0825,0,0,535,132,178,355,0,27,30,8,34,34,11,7
s16,1200,600,600,1161,39,20,0.0166666666666667,0,0,218,470,129,383,0,1,11,1,7,8,16,6
s17,1200,600,600,1154,46,127,0.105833333333333,0,0,285,451,144,320,0,1,85,9,32,8,20,8
s18,1200,600,600,1117,83,372,0.31,0,0,366,489,125,220,0,29,249,29,65,22,36,9
s19,1200,600,600,1172,28,29,0.0241666666666667,0,0,145,543,91,421,0,3,14,2,10,2,15,4
s20,1200,600,600,1161,39,8,0.00666666666666667,0,0,297,409,235,259,0,1,4,1,2,17,8,12
s21,1200,600,600,1155,45,9,0.0075,0,0,386,348,130,336,0,4,3,1,1,18,17,3
s22,1200,600,600,1168,32,3,0.0025,0,0,478,183,242,297,0,1,1,1,0,11,5,8
s23,1200,600,600,1165,35,16,0.0133333333333333,0,0,238,371,152,439,0,0,12,0,4,4,21,3
s24,1200,600,600,1116,84,99,0.0825,0,0,316,276,194,414,0,16,42,12,29,25,13,21
s25,1200,600,600,1172,28,25,0.0208333333333333,0,0,438,292,173,297,0,3,17,1,4,14,10,1
